val_loss,val_natom_loss,val_lattice_loss,val_coord_loss,val_type_loss,val_kld_loss,val_composition_loss,val_property_loss,val_natom_accuracy,val_lengths_mard,val_angles_mae,val_volumes_mard,val_type_accuracy,epoch,step,train_loss_epoch,train_natom_loss_epoch,train_lattice_loss_epoch,train_coord_loss_epoch,train_type_loss_epoch,train_kld_loss_epoch,train_composition_loss_epoch
98.471923828125,2.266059398651123,0.4740145206451416,2.341815948486328,75.05375671386719,42.68594741821289,4.258245944976807,0.0,0.7599999904632568,0.06336061656475067,9.155273232863692e-07,0.19698692858219147,0.13600002229213715,0,3,,,,,,,
,,,,,,,,,,,,,0,3,112.12109375,2.6482839584350586,0.5300882458686829,3.0841572284698486,68.35872650146484,50.68625259399414,4.46476411819458
100.18425750732422,1.7662361860275269,0.4182799160480499,2.1335232257843018,78.8490219116211,40.61465072631836,3.9880595207214355,0.0,1.0,0.06023257598280907,6.103516057009983e-07,0.17931395769119263,0.35199999809265137,1,7,,,,,,,
,,,,,,,,,,,,,1,7,108.47453308105469,2.0156354904174805,0.6515722274780273,2.307112216949463,72.18566131591797,46.73823165893555,4.2190165519714355
131.2959442138672,1.3351318836212158,0.409677118062973,1.5380144119262695,115.9157943725586,39.09528732299805,3.8160252571105957,0.0,1.0,0.059506651014089584,7.120768827917345e-07,0.1813642531633377,0.41600003838539124,2,11,,,,,,,
,,,,,,,,,,,,,2,11,109.48513793945312,1.563023567199707,0.5663294792175293,2.1354198455810547,76.57266235351562,44.090858459472656,3.891030788421631
85.71647644042969,0.7109593152999878,0.3751055896282196,1.7664859294891357,68.05162048339844,38.432159423828125,3.5216376781463623,0.0,1.0,0.056766632944345474,4.0690105151952594e-07,0.1683361530303955,0.45600003004074097,3,15,,,,,,,
,,,,,,,,,,,,,3,15,86.02770233154297,1.1446799039840698,0.34216782450675964,1.7623234987258911,59.790584564208984,39.4849967956543,3.6526689529418945
75.85829162597656,0.4719989597797394,0.3178054392337799,1.515896201133728,60.6993293762207,38.325504302978516,3.2812864780426025,0.0,1.0,0.051504869014024734,4.0690105151952594e-07,0.15601494908332825,0.46399998664855957,4,19,,,,,,,
,,,,,,,,,,,,,4,19,48.64463424682617,0.7663601636886597,0.2813989818096161,1.5362675189971924,25.85973358154297,39.178157806396484,3.4500951766967773
85.77711486816406,0.3697734475135803,0.32420116662979126,1.5071144104003906,70.70597076416016,38.5351448059082,3.1298022270202637,0.0,1.0,0.05243522673845291,4.0690105151952594e-07,0.1583968847990036,0.4480000138282776,5,23,,,,,,,
,,,,,,,,,,,,,5,23,52.66781234741211,0.41072529554367065,0.38284724950790405,1.1839979887008667,32.97245407104492,40.61500930786133,3.210028648376465
60.6422233581543,0.14421038329601288,0.30209362506866455,1.7944773435592651,42.69744873046875,38.7611083984375,2.9554667472839355,0.0,1.0,0.050398968160152435,1.0172526287988148e-07,0.15092630684375763,0.44800007343292236,6,27,,,,,,,
,,,,,,,,,,,,,6,27,59.04802703857422,0.252580851316452,0.4446927011013031,1.1832993030548096,39.10931396484375,44.23554611206055,2.9638571739196777
48.09793472290039,0.06549020856618881,0.24570895731449127,1.594234585762024,32.15559005737305,39.170589447021484,2.80417799949646,0.0,1.0,0.04743007943034172,0.0,0.14351415634155273,0.4480000436306,7,31,,,,,,,
,,,,,,,,,,,,,7,31,66.8881607055664,0.1463223546743393,0.3098661005496979,1.8770607709884644,41.608646392822266,43.925498962402344,2.8246827125549316
52.806861877441406,0.10847761482000351,0.225942000746727,1.2920656204223633,39.88620376586914,39.39617919921875,2.798081874847412,0.0,1.0,0.0456664003431797,2.0345052575976297e-07,0.13945822417736053,0.4480000138282776,8,35,,,,,,,
,,,,,,,,,,,,,8,35,55.318111419677734,0.06494560092687607,0.2835644483566284,1.626049518585205,32.95930480957031,42.63490295410156,2.771376609802246
42.2199821472168,0.03362173214554787,0.17515797913074493,1.452736496925354,27.692615509033203,39.707908630371094,2.7653822898864746,0.0,1.0,0.038950808346271515,1.0172526287988148e-07,0.11657504737377167,0.41600000858306885,9,39,,,,,,,
,,,,,,,,,,,,,9,39,44.881595611572266,0.05017030984163284,0.22673310339450836,1.4280506372451782,25.163665771484375,43.020225524902344,2.6897168159484863
53.500816345214844,0.01751582697033882,0.176286980509758,1.1820051670074463,41.680763244628906,40.1178092956543,2.705411911010742,0.0,1.0,0.040163975208997726,0.0,0.11943542212247849,0.47999998927116394,10,43,,,,,,,
,,,,,,,,,,,,,10,43,42.812660217285156,0.053685981780290604,0.20598453283309937,1.4429136514663696,23.103113174438477,42.58876419067383,2.740990161895752
